gene_symbol	ncbi_gene	ensembl_gene	db_gene_symbol	db_ncbi_gene	db_ensembl_gene	source_gene	gs_id	gs_name	gs_collection	gs_subcollection	gs_collection_name	gs_description	gs_source_species	gs_pmid	gs_geoid	gs_exact_source	gs_url	db_version	db_target_species	Selected_Ensembl_ID
ABCA1	19	ENSG00000165029	ABCA1	19	ENSG00000165029	ABCA1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000165029
ABCB8	11194	ENSG00000197150	ABCB8	11194	ENSG00000197150	ABCB8	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000197150
ACAA2	10449	ENSG00000167315	ACAA2	10449	ENSG00000167315	ACAA2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000167315
ACADL	33	ENSG00000115361	ACADL	33	ENSG00000115361	ACADL	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000115361
ACADM	34	ENSG00000117054	ACADM	34	ENSG00000117054	ACADM	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000117054
ACADS	35	ENSG00000122971	ACADS	35	ENSG00000122971	ACADS	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000122971
ACLY	47	ENSG00000131473	ACLY	47	ENSG00000131473	ACLY	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000131473
ACO2	50	ENSG00000100412	ACO2	50	ENSG00000100412	ACO2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000100412
ACOX1	51	ENSG00000161533	ACOX1	51	ENSG00000161533	ACOX1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000161533
ADCY6	112	ENSG00000174233	ADCY6	112	ENSG00000174233	ADCY6	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000174233
ADIG	149685	ENSG00000182035	ADIG	149685	ENSG00000182035	ADIG	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000182035
ADIPOQ	9370	ENSG00000181092	ADIPOQ	9370	ENSG00000181092	ADIPOQ	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000181092
ADIPOR2	79602	ENSG00000006831	ADIPOR2	79602	ENSG00000006831	ADIPOR2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000006831
AGPAT3	56894	ENSG00000160216	AGPAT3	56894	ENSG00000160216	AGPAT3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000160216
AIFM1	9131	ENSG00000156709	AIFM1	9131	ENSG00000156709	AIFM1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000156709
AK2	204	ENSG00000004455	AK2	204	ENSG00000004455	AK2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000004455
ALDH2	217	ENSG00000111275	ALDH2	217	ENSG00000111275	ALDH2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000111275
ALDOA	226	ENSG00000149925	ALDOA	226	ENSG00000149925	ALDOA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000149925
ANGPT1	284	ENSG00000154188	ANGPT1	284	ENSG00000154188	ANGPT1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000154188
ANGPTL4	51129	ENSG00000167772	ANGPTL4	51129	ENSG00000167772	ANGPTL4	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000167772
APLP2	334	ENSG00000084234	APLP2	334	ENSG00000084234	APLP2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000084234
APOE	348	ENSG00000130203	APOE	348	ENSG00000130203	APOE	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000130203
ARAF	369	ENSG00000078061	ARAF	369	ENSG00000078061	ARAF	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000078061
ARL4A	10124	ENSG00000122644	ARL4A	10124	ENSG00000122644	ARL4A	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000122644
ATL2	64225	ENSG00000119787	ATL2	64225	ENSG00000119787	ATL2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000119787
ATP1B3	483	ENSG00000069849	ATP1B3	483	ENSG00000069849	ATP1B3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000069849
ATP5PO	539	ENSG00000241837	ATP5PO	539	ENSG00000241837	ATP5O	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000241837
BAZ2A	11176	ENSG00000076108	BAZ2A	11176	ENSG00000076108	BAZ2A	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000076108
BCKDHA	593	ENSG00000248098	BCKDHA	593	ENSG00000248098	BCKDHA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000248098
BCL2L13	23786	ENSG00000099968	BCL2L13	23786	ENSG00000099968	BCL2L13	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000099968
BCL6	604	ENSG00000113916	BCL6	604	ENSG00000113916	BCL6	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000113916
C3	718	ENSG00000125730	C3	718	ENSG00000125730	C3	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000125730
CAT	847	ENSG00000121691	CAT	847	ENSG00000121691	CAT	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000121691
CAVIN1	284119	ENSG00000177469	CAVIN1	284119	ENSG00000177469	PTRF	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000177469
CAVIN2	8436	ENSG00000168497	CAVIN2	8436	ENSG00000168497	SDPR	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000168497
CCNG2	901	ENSG00000138764	CCNG2	901	ENSG00000138764	CCNG2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000138764
CD151	977	ENSG00000177697	CD151	977	ENSG00000177697	CD151	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000177697
CD302	9936	ENSG00000241399	CD302	9936	ENSG00000241399	CD302	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000241399
CD36	948	ENSG00000135218	CD36	948	ENSG00000135218	CD36	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000135218
CDKN2C	1031	ENSG00000123080	CDKN2C	1031	ENSG00000123080	CDKN2C	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000123080
CHCHD10	400916	ENSG00000250479	CHCHD10	400916	ENSG00000250479	CHCHD10	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000250479
CHUK	1147	ENSG00000213341	CHUK	1147	ENSG00000213341	CHUK	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000213341
CIDEA	1149	ENSG00000176194	CIDEA	1149	ENSG00000176194	CIDEA	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000176194
CMBL	134147	ENSG00000164237	CMBL	134147	ENSG00000164237	CMBL	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000164237
CMPK1	51727	ENSG00000162368	CMPK1	51727	ENSG00000162368	CMPK1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000162368
COL15A1	1306	ENSG00000204291	COL15A1	1306	ENSG00000204291	COL15A1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000204291
COL4A1	1282	ENSG00000187498	COL4A1	1282	ENSG00000187498	COL4A1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	ENSG00000187498
